theme,question,characteristic,base_group,group,odds_ratio,conf_lower,conf_upper,population_perc,base_perc
Nurse,The nurse listened to me,Gender,Female,Male,1.207,1.111,1.3119999999999998,0.4190040461911533,0.5809959538088466
Nurse,I felt that the nurse had all the information needed to treat me,Gender,Female,Male,1.182,1.102,1.2670000000000001,0.4190040461911533,0.5809959538088466
Nurse,The nurse was considerate and understanding,Gender,Female,Male,1.323,1.219,1.4369999999999998,0.4190040461911533,0.5809959538088466
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Gender,Female,Male,1.284,1.206,1.367,0.4190040461911533,0.5809959538088466
Nurse,I felt confident in the nurse's ability to treat me,Gender,Female,Male,1.248,1.16,1.3430000000000002,0.4190040461911533,0.5809959538088466
Nurse,I had enough time with the nurse,Gender,Female,Male,1.098,1.005,1.2,0.4190040461911533,0.5809959538088466
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Gender,Female,Male,0.91,0.87,0.951,0.4190040461911533,0.5809959538088466
Medicines,It was easy enough for me to get my medicines,Gender,Female,Male,1.129,1.048,1.217,0.4190040461911533,0.5809959538088466
Medicines,I knew enough about what my medicines were for,Gender,Female,Male,0.829,0.7709999999999999,0.8909999999999999,0.4190040461911533,0.5809959538088466
Medicines,I knew enough about possible side effects of my medicines,Gender,Female,Male,0.91,0.878,0.9440000000000001,0.4190040461911533,0.5809959538088466
Medicines,I would know what to do if I had any problems with my medicines,Gender,Female,Male,0.796,0.76,0.833,0.4190040461911533,0.5809959538088466
Overall care,I am treated with dignity and respect,Gender,Female,Male,1.293,1.234,1.3559999999999999,0.4190040461911533,0.5809959538088466
Overall care,I am treated with kindness and understanding,Gender,Female,Male,1.179,1.131,1.23,0.4190040461911533,0.5809959538088466
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Gender,Female,Male,1.182,1.133,1.234,0.4190040461911533,0.5809959538088466
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Gender,Female,Male,0.92,0.868,0.976,0.4190040461911533,0.5809959538088466
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Ethnicity,White,Mixed or multiple ethnic groups,0.765,0.552,1.06,0.005351414106025321,0.945922552191744
Access,"The last time you needed to see or speak to a doctor or nurse from your GP surgery quite urgently, how long did you wait?",Ethnicity,White,Mixed or multiple ethnic groups,1.091,0.825,1.443,0.005351414106025321,0.945922552191744
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Ethnicity,White,Mixed or multiple ethnic groups,1.162,0.91,1.484,0.005351414106025321,0.945922552191744
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Ethnicity,White,Mixed or multiple ethnic groups,1.274,1.04,1.56,0.005351414106025321,0.945922552191744
At your GP surgery,How clean is your GP surgery or health centre?,Ethnicity,White,Mixed or multiple ethnic groups,0.9470000000000001,0.787,1.14,0.005351414106025321,0.945922552191744
Doctor,I felt that the doctor had all the information needed to treat me,Ethnicity,White,Mixed or multiple ethnic groups,0.748,0.586,0.955,0.005351414106025321,0.945922552191744
Doctor,I felt confident in the doctor's ability to treat me,Ethnicity,White,Mixed or multiple ethnic groups,0.8029999999999999,0.628,1.028,0.005351414106025321,0.945922552191744
Doctor,I had enough time with the doctor,Ethnicity,White,Mixed or multiple ethnic groups,1.012,0.76,1.3459999999999999,0.005351414106025321,0.945922552191744
Nurse,The nurse listened to me,Ethnicity,White,Mixed or multiple ethnic groups,0.569,0.384,0.843,0.005351414106025321,0.945922552191744
Nurse,I felt that the nurse had all the information needed to treat me,Ethnicity,White,Mixed or multiple ethnic groups,0.868,0.591,1.275,0.005351414106025321,0.945922552191744
Nurse,I felt confident in the nurse's ability to treat me,Ethnicity,White,Mixed or multiple ethnic groups,0.8320000000000001,0.561,1.235,0.005351414106025321,0.945922552191744
Nurse,I had enough time with the nurse,Ethnicity,White,Mixed or multiple ethnic groups,1.1,0.638,1.896,0.005351414106025321,0.945922552191744
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Ethnicity,White,Mixed or multiple ethnic groups,0.9129999999999999,0.7,1.19,0.005351414106025321,0.945922552191744
Medicines,I knew enough about what my medicines were for,Ethnicity,White,Mixed or multiple ethnic groups,0.8059999999999999,0.5329999999999999,1.22,0.005351414106025321,0.945922552191744
Medicines,I knew enough about possible side effects of my medicines,Ethnicity,White,Mixed or multiple ethnic groups,1.026,0.8140000000000001,1.295,0.005351414106025321,0.945922552191744
Medicines,I would know what to do if I had any problems with my medicines,Ethnicity,White,Mixed or multiple ethnic groups,0.9840000000000001,0.742,1.306,0.005351414106025321,0.945922552191744
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Ethnicity,White,Mixed or multiple ethnic groups,1.0070000000000001,0.7829999999999999,1.294,0.005351414106025321,0.945922552191744
Out of Hours,The time I waited was reasonable,Ethnicity,White,Mixed or multiple ethnic groups,1.102,0.768,1.5819999999999999,0.005351414106025321,0.945922552191744
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Ethnicity,White,Mixed or multiple ethnic groups,0.968,0.693,1.351,0.005351414106025321,0.945922552191744
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Ethnicity,White,"Asian, Asian Scottish or Asian British",0.794,0.609,1.035,0.015600849081878696,0.945922552191744
Access,"The last time you needed to see or speak to a doctor or nurse from your GP surgery quite urgently, how long did you wait?",Ethnicity,White,"Asian, Asian Scottish or Asian British",0.688,0.593,0.797,0.015600849081878696,0.945922552191744
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Ethnicity,White,"Asian, Asian Scottish or Asian British",0.7929999999999999,0.6659999999999999,0.9440000000000001,0.015600849081878696,0.945922552191744
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Ethnicity,White,"Asian, Asian Scottish or Asian British",1.016,0.87,1.185,0.015600849081878696,0.945922552191744
At your GP surgery,How clean is your GP surgery or health centre?,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.659,0.5710000000000001,0.76,0.015600849081878696,0.945922552191744
Doctor,I felt that the doctor had all the information needed to treat me,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.818,0.6679999999999999,1.003,0.015600849081878696,0.945922552191744
Doctor,I felt confident in the doctor's ability to treat me,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.841,0.6859999999999999,1.03,0.015600849081878696,0.945922552191744
Doctor,I had enough time with the doctor,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.885,0.713,1.099,0.015600849081878696,0.945922552191744
Nurse,The nurse listened to me,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.835,0.575,1.214,0.015600849081878696,0.945922552191744
Nurse,I felt that the nurse had all the information needed to treat me,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.758,0.563,1.0190000000000001,0.015600849081878696,0.945922552191744
Nurse,I felt confident in the nurse's ability to treat me,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.69,0.512,0.93,0.015600849081878696,0.945922552191744
Nurse,I had enough time with the nurse,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.573,0.409,0.8029999999999999,0.015600849081878696,0.945922552191744
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.45299999999999996,0.379,0.542,0.015600849081878696,0.945922552191744
Medicines,I knew enough about what my medicines were for,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.594,0.434,0.812,0.015600849081878696,0.945922552191744
Medicines,I knew enough about possible side effects of my medicines,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.741,0.621,0.885,0.015600849081878696,0.945922552191744
Medicines,I would know what to do if I had any problems with my medicines,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.546,0.45,0.662,0.015600849081878696,0.945922552191744
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Ethnicity,White,"Asian, Asian Scottish or Asian British",0.765,0.636,0.92,0.015600849081878696,0.945922552191744
Out of Hours,The time I waited was reasonable,Ethnicity,White,"Asian, Asian Scottish or Asian British",0.537,0.447,0.644,0.015600849081878696,0.945922552191744
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Ethnicity,White,"Asian, Asian Scottish or Asian British",0.5670000000000001,0.474,0.68,0.015600849081878696,0.945922552191744
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Ethnicity,White,"African, Caribbean or Black",1.396,0.8640000000000001,2.256,0.0037027114289443492,0.945922552191744
Access,"The last time you needed to see or speak to a doctor or nurse from your GP surgery quite urgently, how long did you wait?",Ethnicity,White,"African, Caribbean or Black",0.927,0.6859999999999999,1.251,0.0037027114289443492,0.945922552191744
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Ethnicity,White,"African, Caribbean or Black",1.1909999999999998,0.905,1.567,0.0037027114289443492,0.945922552191744
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Ethnicity,White,"African, Caribbean or Black",1.285,1.01,1.635,0.0037027114289443492,0.945922552191744
At your GP surgery,How clean is your GP surgery or health centre?,Ethnicity,White,"African, Caribbean or Black",1.217,0.966,1.5330000000000001,0.0037027114289443492,0.945922552191744
Doctor,I felt that the doctor had all the information needed to treat me,Ethnicity,White,"African, Caribbean or Black",0.743,0.551,1.002,0.0037027114289443492,0.945922552191744
Doctor,I felt confident in the doctor's ability to treat me,Ethnicity,White,"African, Caribbean or Black",0.956,0.695,1.315,0.0037027114289443492,0.945922552191744
Doctor,I had enough time with the doctor,Ethnicity,White,"African, Caribbean or Black",0.8759999999999999,0.634,1.2109999999999999,0.0037027114289443492,0.945922552191744
Nurse,The nurse listened to me,Ethnicity,White,"African, Caribbean or Black",0.88,0.505,1.534,0.0037027114289443492,0.945922552191744
Nurse,I felt that the nurse had all the information needed to treat me,Ethnicity,White,"African, Caribbean or Black",0.718,0.46399999999999997,1.11,0.0037027114289443492,0.945922552191744
Nurse,I felt confident in the nurse's ability to treat me,Ethnicity,White,"African, Caribbean or Black",0.74,0.47,1.1640000000000001,0.0037027114289443492,0.945922552191744
Nurse,I had enough time with the nurse,Ethnicity,White,"African, Caribbean or Black",0.826,0.47700000000000004,1.4280000000000002,0.0037027114289443492,0.945922552191744
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Ethnicity,White,"African, Caribbean or Black",0.44799999999999995,0.34299999999999997,0.584,0.0037027114289443492,0.945922552191744
Medicines,I knew enough about what my medicines were for,Ethnicity,White,"African, Caribbean or Black",0.602,0.373,0.97,0.0037027114289443492,0.945922552191744
Medicines,I knew enough about possible side effects of my medicines,Ethnicity,White,"African, Caribbean or Black",0.935,0.7070000000000001,1.237,0.0037027114289443492,0.945922552191744
Medicines,I would know what to do if I had any problems with my medicines,Ethnicity,White,"African, Caribbean or Black",0.7240000000000001,0.537,0.978,0.0037027114289443492,0.945922552191744
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Ethnicity,White,"African, Caribbean or Black",1.08,0.797,1.464,0.0037027114289443492,0.945922552191744
Out of Hours,The time I waited was reasonable,Ethnicity,White,"African, Caribbean or Black",0.615,0.425,0.89,0.0037027114289443492,0.945922552191744
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Ethnicity,White,"African, Caribbean or Black",0.7859999999999999,0.541,1.143,0.0037027114289443492,0.945922552191744
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Ethnicity,White,Other ethnic group,0.706,0.496,1.004,0.004025582369872706,0.945922552191744
Access,"The last time you needed to see or speak to a doctor or nurse from your GP surgery quite urgently, how long did you wait?",Ethnicity,White,Other ethnic group,0.642,0.493,0.835,0.004025582369872706,0.945922552191744
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Ethnicity,White,Other ethnic group,0.981,0.757,1.271,0.004025582369872706,0.945922552191744
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Ethnicity,White,Other ethnic group,0.778,0.631,0.96,0.004025582369872706,0.945922552191744
At your GP surgery,How clean is your GP surgery or health centre?,Ethnicity,White,Other ethnic group,0.652,0.5329999999999999,0.797,0.004025582369872706,0.945922552191744
Doctor,I felt that the doctor had all the information needed to treat me,Ethnicity,White,Other ethnic group,0.73,0.5529999999999999,0.963,0.004025582369872706,0.945922552191744
Doctor,I felt confident in the doctor's ability to treat me,Ethnicity,White,Other ethnic group,0.701,0.536,0.9179999999999999,0.004025582369872706,0.945922552191744
Doctor,I had enough time with the doctor,Ethnicity,White,Other ethnic group,0.6509999999999999,0.493,0.8590000000000001,0.004025582369872706,0.945922552191744
Nurse,The nurse listened to me,Ethnicity,White,Other ethnic group,0.547,0.348,0.858,0.004025582369872706,0.945922552191744
Nurse,I felt that the nurse had all the information needed to treat me,Ethnicity,White,Other ethnic group,0.522,0.363,0.7509999999999999,0.004025582369872706,0.945922552191744
Nurse,I felt confident in the nurse's ability to treat me,Ethnicity,White,Other ethnic group,0.47,0.326,0.677,0.004025582369872706,0.945922552191744
Nurse,I had enough time with the nurse,Ethnicity,White,Other ethnic group,0.435,0.28600000000000003,0.66,0.004025582369872706,0.945922552191744
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Ethnicity,White,Other ethnic group,0.505,0.392,0.652,0.004025582369872706,0.945922552191744
Medicines,I knew enough about what my medicines were for,Ethnicity,White,Other ethnic group,0.703,0.441,1.121,0.004025582369872706,0.945922552191744
Medicines,I knew enough about possible side effects of my medicines,Ethnicity,White,Other ethnic group,0.634,0.498,0.8059999999999999,0.004025582369872706,0.945922552191744
Medicines,I would know what to do if I had any problems with my medicines,Ethnicity,White,Other ethnic group,0.6659999999999999,0.501,0.884,0.004025582369872706,0.945922552191744
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Ethnicity,White,Other ethnic group,0.593,0.466,0.7559999999999999,0.004025582369872706,0.945922552191744
Out of Hours,The time I waited was reasonable,Ethnicity,White,Other ethnic group,0.782,0.551,1.111,0.004025582369872706,0.945922552191744
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Ethnicity,White,Other ethnic group,0.5660000000000001,0.408,0.7829999999999999,0.004025582369872706,0.945922552191744
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Religion,Church of Scotland,None,0.9179999999999999,0.8540000000000001,0.986,0.2678798370532188,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Religion,Church of Scotland,None,1.012,0.97,1.056,0.2678798370532188,0.43221427639126464
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Religion,Church of Scotland,None,1.064,1.02,1.111,0.2678798370532188,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Religion,Church of Scotland,None,0.95,0.917,0.985,0.2678798370532188,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Religion,Church of Scotland,None,0.9420000000000001,0.899,0.988,0.2678798370532188,0.43221427639126464
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Religion,Church of Scotland,None,0.8490000000000001,0.807,0.893,0.2678798370532188,0.43221427639126464
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Religion,Church of Scotland,None,0.903,0.8440000000000001,0.965,0.2678798370532188,0.43221427639126464
At your GP surgery,How clean is your GP surgery or health centre?,Religion,Church of Scotland,None,0.884,0.8540000000000001,0.9159999999999999,0.2678798370532188,0.43221427639126464
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Religion,Church of Scotland,None,0.912,0.872,0.953,0.2678798370532188,0.43221427639126464
Doctor,The doctor listened to me,Religion,Church of Scotland,None,0.773,0.72,0.83,0.2678798370532188,0.43221427639126464
Doctor,I felt that the doctor had all the information needed to treat me,Religion,Church of Scotland,None,0.752,0.7140000000000001,0.792,0.2678798370532188,0.43221427639126464
Doctor,The doctor was considerate and understanding,Religion,Church of Scotland,None,0.782,0.7390000000000001,0.828,0.2678798370532188,0.43221427639126464
Doctor,The doctor talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,None,0.753,0.715,0.7929999999999999,0.2678798370532188,0.43221427639126464
Doctor,I felt confident in the doctor's ability to treat me,Religion,Church of Scotland,None,0.748,0.711,0.787,0.2678798370532188,0.43221427639126464
Doctor,I had enough time with the doctor,Religion,Church of Scotland,None,0.816,0.773,0.862,0.2678798370532188,0.43221427639126464
Nurse,The nurse listened to me,Religion,Church of Scotland,None,0.8240000000000001,0.7490000000000001,0.905,0.2678798370532188,0.43221427639126464
Nurse,I felt that the nurse had all the information needed to treat me,Religion,Church of Scotland,None,0.812,0.75,0.878,0.2678798370532188,0.43221427639126464
Nurse,The nurse was considerate and understanding,Religion,Church of Scotland,None,0.809,0.738,0.8859999999999999,0.2678798370532188,0.43221427639126464
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,None,0.7440000000000001,0.693,0.7979999999999999,0.2678798370532188,0.43221427639126464
Nurse,I felt confident in the nurse's ability to treat me,Religion,Church of Scotland,None,0.8190000000000001,0.753,0.889,0.2678798370532188,0.43221427639126464
Nurse,I had enough time with the nurse,Religion,Church of Scotland,None,0.8320000000000001,0.7509999999999999,0.922,0.2678798370532188,0.43221427639126464
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Religion,Church of Scotland,None,0.894,0.848,0.9440000000000001,0.2678798370532188,0.43221427639126464
Medicines,It was easy enough for me to get my medicines,Religion,Church of Scotland,None,0.857,0.7879999999999999,0.9329999999999999,0.2678798370532188,0.43221427639126464
Medicines,I knew enough about what my medicines were for,Religion,Church of Scotland,None,0.84,0.77,0.915,0.2678798370532188,0.43221427639126464
Medicines,I knew enough about possible side effects of my medicines,Religion,Church of Scotland,None,0.856,0.82,0.894,0.2678798370532188,0.43221427639126464
Medicines,I would know what to do if I had any problems with my medicines,Religion,Church of Scotland,None,0.836,0.792,0.883,0.2678798370532188,0.43221427639126464
Medicines,I took my prescription as I was supposed to,Religion,Church of Scotland,None,0.669,0.598,0.75,0.2678798370532188,0.43221427639126464
Overall care,I am treated with dignity and respect,Religion,Church of Scotland,None,0.8220000000000001,0.78,0.867,0.2678798370532188,0.43221427639126464
Overall care,I am treated with kindness and understanding,Religion,Church of Scotland,None,0.7979999999999999,0.7609999999999999,0.8370000000000001,0.2678798370532188,0.43221427639126464
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Religion,Church of Scotland,None,0.86,0.8190000000000001,0.902,0.2678798370532188,0.43221427639126464
Out of Hours,I felt that the person had all the information needed to treat me,Religion,Church of Scotland,None,0.95,0.8859999999999999,1.0190000000000001,0.2678798370532188,0.43221427639126464
Out of Hours,I felt that I got the right treatment or advice,Religion,Church of Scotland,None,0.9470000000000001,0.8809999999999999,1.018,0.2678798370532188,0.43221427639126464
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Religion,Church of Scotland,Roman Catholic,1.002,0.9179999999999999,1.094,0.15589857730698156,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Religion,Church of Scotland,Roman Catholic,0.97,0.924,1.018,0.15589857730698156,0.43221427639126464
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Religion,Church of Scotland,Roman Catholic,0.9990000000000001,0.95,1.05,0.15589857730698156,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Religion,Church of Scotland,Roman Catholic,1.038,0.995,1.084,0.15589857730698156,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Religion,Church of Scotland,Roman Catholic,1.006,0.9520000000000001,1.064,0.15589857730698156,0.43221427639126464
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Religion,Church of Scotland,Roman Catholic,1.095,1.03,1.1640000000000001,0.15589857730698156,0.43221427639126464
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Religion,Church of Scotland,Roman Catholic,1.026,0.9440000000000001,1.115,0.15589857730698156,0.43221427639126464
At your GP surgery,How clean is your GP surgery or health centre?,Religion,Church of Scotland,Roman Catholic,0.9890000000000001,0.948,1.032,0.15589857730698156,0.43221427639126464
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Religion,Church of Scotland,Roman Catholic,0.991,0.938,1.047,0.15589857730698156,0.43221427639126464
Doctor,The doctor listened to me,Religion,Church of Scotland,Roman Catholic,0.885,0.812,0.965,0.15589857730698156,0.43221427639126464
Doctor,I felt that the doctor had all the information needed to treat me,Religion,Church of Scotland,Roman Catholic,0.941,0.882,1.005,0.15589857730698156,0.43221427639126464
Doctor,The doctor was considerate and understanding,Religion,Church of Scotland,Roman Catholic,0.888,0.828,0.9520000000000001,0.15589857730698156,0.43221427639126464
Doctor,The doctor talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Roman Catholic,0.946,0.8859999999999999,1.01,0.15589857730698156,0.43221427639126464
Doctor,I felt confident in the doctor's ability to treat me,Religion,Church of Scotland,Roman Catholic,0.91,0.8540000000000001,0.97,0.15589857730698156,0.43221427639126464
Doctor,I had enough time with the doctor,Religion,Church of Scotland,Roman Catholic,0.9490000000000001,0.887,1.015,0.15589857730698156,0.43221427639126464
Nurse,The nurse listened to me,Religion,Church of Scotland,Roman Catholic,1.0090000000000001,0.898,1.133,0.15589857730698156,0.43221427639126464
Nurse,I felt that the nurse had all the information needed to treat me,Religion,Church of Scotland,Roman Catholic,0.8859999999999999,0.8059999999999999,0.9740000000000001,0.15589857730698156,0.43221427639126464
Nurse,The nurse was considerate and understanding,Religion,Church of Scotland,Roman Catholic,0.978,0.8740000000000001,1.095,0.15589857730698156,0.43221427639126464
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Roman Catholic,0.917,0.84,1.001,0.15589857730698156,0.43221427639126464
Nurse,I felt confident in the nurse's ability to treat me,Religion,Church of Scotland,Roman Catholic,0.941,0.85,1.042,0.15589857730698156,0.43221427639126464
Nurse,I had enough time with the nurse,Religion,Church of Scotland,Roman Catholic,0.877,0.778,0.988,0.15589857730698156,0.43221427639126464
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Religion,Church of Scotland,Roman Catholic,0.85,0.799,0.903,0.15589857730698156,0.43221427639126464
Medicines,It was easy enough for me to get my medicines,Religion,Church of Scotland,Roman Catholic,1.1320000000000001,1.016,1.26,0.15589857730698156,0.43221427639126464
Medicines,I knew enough about what my medicines were for,Religion,Church of Scotland,Roman Catholic,0.978,0.883,1.084,0.15589857730698156,0.43221427639126464
Medicines,I knew enough about possible side effects of my medicines,Religion,Church of Scotland,Roman Catholic,0.956,0.9079999999999999,1.0070000000000001,0.15589857730698156,0.43221427639126464
Medicines,I would know what to do if I had any problems with my medicines,Religion,Church of Scotland,Roman Catholic,0.924,0.865,0.988,0.15589857730698156,0.43221427639126464
Medicines,I took my prescription as I was supposed to,Religion,Church of Scotland,Roman Catholic,0.8690000000000001,0.7559999999999999,1.0,0.15589857730698156,0.43221427639126464
Overall care,I am treated with dignity and respect,Religion,Church of Scotland,Roman Catholic,0.9940000000000001,0.93,1.061,0.15589857730698156,0.43221427639126464
Overall care,I am treated with kindness and understanding,Religion,Church of Scotland,Roman Catholic,0.955,0.9009999999999999,1.013,0.15589857730698156,0.43221427639126464
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Religion,Church of Scotland,Roman Catholic,0.997,0.9390000000000001,1.057,0.15589857730698156,0.43221427639126464
Out of Hours,I felt that the person had all the information needed to treat me,Religion,Church of Scotland,Roman Catholic,0.99,0.9109999999999999,1.075,0.15589857730698156,0.43221427639126464
Out of Hours,I felt that I got the right treatment or advice,Religion,Church of Scotland,Roman Catholic,0.971,0.892,1.058,0.15589857730698156,0.43221427639126464
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Religion,Church of Scotland,Other Christian,1.044,0.924,1.18,0.07825155081095563,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Religion,Church of Scotland,Other Christian,1.109,1.035,1.189,0.07825155081095563,0.43221427639126464
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Religion,Church of Scotland,Other Christian,1.127,1.052,1.207,0.07825155081095563,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Religion,Church of Scotland,Other Christian,1.103,1.041,1.169,0.07825155081095563,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Religion,Church of Scotland,Other Christian,1.099,1.018,1.187,0.07825155081095563,0.43221427639126464
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Religion,Church of Scotland,Other Christian,0.937,0.8690000000000001,1.012,0.07825155081095563,0.43221427639126464
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Religion,Church of Scotland,Other Christian,1.024,0.915,1.146,0.07825155081095563,0.43221427639126464
At your GP surgery,How clean is your GP surgery or health centre?,Religion,Church of Scotland,Other Christian,0.9059999999999999,0.858,0.958,0.07825155081095563,0.43221427639126464
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Religion,Church of Scotland,Other Christian,1.0290000000000001,0.9570000000000001,1.1059999999999999,0.07825155081095563,0.43221427639126464
