characteristic,group,base_group,odds_ratio,conf_lower,conf_upper
GP Practice Size,"10,000+",2500 - 4999,0.6922142857142857,0.5969642857142857,0.8040714285714284
GP Practice Size,"5,000 - 7,499",2500 - 4999,0.8049642857142859,0.7147500000000002,0.9076071428571428
GP Practice Size,"7,500 - 9,999",2500 - 4999,0.7147499999999999,0.6270357142857143,0.8157857142857142
GP Practice Size,"< 2,500",2500 - 4999,1.5828928571428567,1.3561428571428569,1.8512142857142855
Gender,Male,Female,1.1217666666666666,1.0639666666666667,1.1832666666666662
Health status,Bad,Good,0.5864871794871795,0.5185384615384616,0.6642564102564101
Health status,Fair,Good,0.7589743589743589,0.712,0.8094102564102565
"Interpretation, translation or other communication support needs",Yes,No,0.6972857142857143,0.5925714285714285,0.8224285714285714
Limitation of day-to-day activities,"Yes, limited 
a little",Not limited,0.8393611111111112,0.7798333333333334,0.9039166666666666
Limitation of day-to-day activities,"Yes, limited 
a lot",Not limited,0.7778888888888889,0.6989444444444441,0.8668611111111111
Long-term condition,Another Long-term Condition,None,1.0366666666666666,0.9782222222222222,1.0995555555555554
Long-term condition,Blindness / Vision Impairment,None,0.727,0.614,0.8626666666666666
Long-term condition,Chronic Pain,None,0.7936818181818185,0.7347272727272728,0.8577727272727274
Long-term condition,Deafness / Hearing Impairment,None,0.8720909090909089,0.8034545454545455,0.9472727272727273
Long-term condition,Learning Disability,None,0.615,0.5062857142857143,0.7482857142857144
Long-term condition,Mental Health Condition,None,0.891,0.804076923076923,0.9879230769230767
Long-term condition,"Physical 
Disability",None,1.18692,1.07424,1.31284
Percentage of GP practice list in 15% of most deprived areas,Estimate,Mean,0.9921428571428569,0.9889047619047617,0.9953333333333332
Religion,Another religion (non-Christian),Church of Scotland,0.7372812499999999,0.55615625,0.9839062499999998
Religion,Buddhist,Church of Scotland,0.747625,0.5105624999999998,1.10425
Religion,Hindu,Church of Scotland,1.0599062499999998,0.6075625,1.91553125
Religion,Jewish,Church of Scotland,0.8985312499999998,0.4796249999999999,1.7630937500000001
Religion,Muslim,Church of Scotland,0.7945625,0.6143124999999999,1.0340312499999997
Religion,None,Church of Scotland,0.8508437499999998,0.7995625000000001,0.9057812499999998
Religion,Other Christian,Church of Scotland,0.9155312499999999,0.8318437499999999,1.00846875
Religion,Pagan,Church of Scotland,0.8374687499999999,0.6384062500000001,1.10425
Religion,Roman Catholic,Church of Scotland,0.96434375,0.8935624999999998,1.0413750000000002
Religion,Sikh,Church of Scotland,0.8816249999999999,0.5710937499999998,1.3750312499999995
Sexual orientation,Bisexual,Heterosexual,0.9800769230769231,0.7285384615384616,1.3252307692307694
Sexual orientation,Gay or lesbian,Heterosexual,0.9449230769230771,0.7763846153846152,1.153153846153846
Sexual orientation,Not answered,Heterosexual,0.880076923076923,0.7636923076923078,1.0157692307692305
Sexual orientation,Other,Heterosexual,0.7929230769230767,0.6431538461538461,0.9796923076923076
Urban-Rural,Accessible rural,Large urban areas,0.9738999999999999,0.8612500000000001,1.10155
Urban-Rural,Accessible small towns,Large urban areas,0.8875999999999997,0.7725500000000001,1.0206
Urban-Rural,Other Urban Areas,Large urban areas,0.9479,0.8427999999999999,1.0666000000000002
Urban-Rural,Remote Rural,Large urban areas,1.1781000000000001,0.9939500000000002,1.3980500000000002
Urban-Rural,Remote Small Towns,Large urban areas,1.0193999999999999,0.8289500000000001,1.2554
Work Status,Do not work due to illness or disability,Retired,1.028153846153846,0.9068205128205128,1.1676923076923078
Work Status,In full-time education or training,Retired,0.7561538461538464,0.633820512820513,0.9046410256410252
Work Status,Other,Retired,0.7739743589743592,0.6735897435897434,0.8908717948717947
Work Status,Unemployed / Looking for work,Retired,0.829051282051282,0.7025897435897437,0.980974358974359
Work Status,Work full time,Retired,0.7074358974358976,0.6461538461538462,0.7752051282051282
Work Status,Work part time,Retired,0.8132564102564102,0.7331794871794869,0.903051282051282
