characteristic,group,base_group,odds_ratio,conf_lower,conf_upper
Religion,Roman Catholic,Church of Scotland,0.96434375,0.8935625,1.041375
Religion,Sikh,Church of Scotland,0.881625,0.57109375,1.37503125
Sexual orientation,Bisexual,Heterosexual,0.980076923,0.728538462,1.325230769
Sexual orientation,Gay or lesbian,Heterosexual,0.944923077,0.776384615,1.153153846
Sexual orientation,Not answered,Heterosexual,0.880076923,0.763692308,1.015769231
Sexual orientation,Other,Heterosexual,0.792923077,0.643153846,0.979692308
Urban-Rural,Accessible rural,Large urban areas,0.9739,0.86125,1.10155
Urban-Rural,Accessible small towns,Large urban areas,0.8876,0.77255,1.0206
Urban-Rural,Other Urban Areas,Large urban areas,0.9479,0.8428,1.0666
Urban-Rural,Remote Rural,Large urban areas,1.1781,0.99395,1.39805
Urban-Rural,Remote Small Towns,Large urban areas,1.0194,0.82895,1.2554
Work Status,Do not work due to illness or disability,Retired,1.028153846,0.906820513,1.167692308
Work Status,In full-time education or training,Retired,0.756153846,0.633820513,0.904641026
Work Status,Other,Retired,0.773974359,0.673589744,0.890871795
Work Status,Unemployed / Looking for work,Retired,0.829051282,0.702589744,0.980974359
Work Status,Work full time,Retired,0.707435897,0.646153846,0.775205128
Work Status,Work part time,Retired,0.81325641,0.733179487,0.903051282
